content,type
#切尔西4比3曼联#英超第31轮，切尔西4比3逆转绝杀曼联！上半场比赛，加拉格尔转身低射破门首开记录，库库雷利亚造点，帕尔默点球命中扩大领先，加纳乔抓住凯塞多失误单刀破门扳回一球，B费后点头球建功扳平比分。下半场比赛，加纳乔接到安东尼助攻头球破门帮助曼联反超比分，终场前达洛特送点，帕尔默主罚点球扳平，最后时刻帕尔默戴帽完成绝杀。最终全场比赛结束，切尔西4-3战胜曼联。#帕尔默帽子戏法##帕尔默绝杀#英国足球风向标的微博视频,体育
"#利雅得将举办WTA年终总决赛# WTA官宣，沙特阿拉伯利雅得成为2024至2026年WTA年终总决赛的举办地。
2024年总决赛将于11月2日至9日举行，本赛季在通向WTA年终总决赛积分榜排名前八的单打选手和双打组合将入围这项年终盛事。 ",体育
#奥斯卡对归化持开放态度##奥斯卡说中国就像第二个家# 奥斯卡：非常感谢大家的支持和信任，我在中国开始我的职业生涯，已经很多年了，中国就像我的家。现在我对归化持开放态度，疫情之后很多外援都离开了，但我一直坚守，中国就像我的第二个家，对我来说一切皆有可能。 ,体育
"#石智勇1金1银##石智勇抓举夺金##2024年泰国举重世界杯#男子73公斤级决赛，石智勇抓举165KG夺金，挺举191KG排名第五（第二第三把196KG失败），总成绩356KG获得银牌 
咪咕体育的微博视频
 ",体育
#巴黎举行奥运水上中心落成典礼# 法国巴黎当地时间2024年4月4日，巴黎奥运会奥林匹克水上中心落成典礼举行，法国巴黎市长安娜·伊达尔戈、2024年巴黎奥运会组委会主席托尼·埃斯坦盖、法国总统马克龙、大巴黎大都会主席帕特里克·奥利耶参观游泳中心。奥林匹克水上中心是2024年巴黎奥运会的多功能场馆。 ,体育
"#武汉三镇2比3沧州雄狮# 刘殿座禁区外手球直红罚下，埃韦尔梅开二度，奥斯卡世界波破门，随后10人作战的武汉三镇连进两球 
咪咕体育的微博视频
 ",体育
"#10人三镇连扳2球# 姜志鹏破门，恩里克点球再追一球，武汉三镇将比分追至2-3 #武汉三镇vs沧州雄狮# 
咪咕体育的微博视频
 ",体育
"#奥斯卡世界波破门# 奥斯卡禁区内得球后过人世界波爆射破门，帮助沧州雄狮3-0领先 #武汉三镇vs沧州雄狮# 
咪咕体育的微博视频
 ",体育
"#埃韦尔梅开二度# 埃韦尔任意球贴地斩折射变线破门，打进自己本场第二个进球，沧州雄狮2-0领先 #武汉三镇vs沧州雄狮# 
咪咕体育的微博视频
 ",体育
"#刘殿座红牌# 刘殿座禁区外手球被罚出场，武汉三镇只能10人作战 #武汉三镇vs沧州雄狮# 
咪咕体育的微博视频
 ",体育
"#武汉三镇半场0比1沧州雄狮# 凭借埃韦尔的进球，沧州雄狮上半场1-0领先武汉三镇 #武汉三镇vs沧州雄狮# 
咪咕体育的微博视频
 ",体育
"#武汉三镇vs沧州雄狮# 奥塔博尔传中，埃韦尔破门，帮助沧州雄狮客场1-0领先武汉三镇 #埃韦尔头球破门# 
咪咕体育的微博视频
 ",体育
#威姆斯称从未回避药检# 近日陷入禁药风波的威姆斯在微博回应，他表示自己从未回避药检，FIBA也从未发布过禁止参加比赛的禁令。#威姆斯回应# #广东男篮称威姆斯从未逃避药检#  ,体育
"#朝鲜选手打破挺举世界纪录# 举重世界杯男子67公斤级决赛，朝鲜选手Ri Won Ju挺举189KG打破世界纪录，收获挺举、总成绩金牌，抓举银牌。丁红杰抓举128KG获得第五，挺举165KG三次全部失败。#2024年泰国举重世界杯# 
咪咕体育的微博视频
 ",体育
"#武汉三镇vs沧州雄狮#首发公布，三外援PK五外援
武汉三镇首发：32-刘殿座、4-姜至鹏、5-朴志洙（F）、25-邓涵文、40-吾米提江、43-张涛、12-张晓彬、16-张辉、37-达兰-门德斯（F）、7-陶强龙、9-佩德罗-恩里克（F）
沧州雄狮首发：14-邵镤亮、3-苏祖（F）、36-杨云、8-赵英杰、16-郑凯木、19-朱可夫（F）、9-埃韦尔（F）、10-奥斯卡（F）、17-文达、31-所罗门-奥塔博尔（F）、32-孙铭谦",体育
"#足球小将正式完结# 漫画《足球小将》今日正式完结，结束长达43年连载，《足球小将》的作者高桥阳一也发社媒表示：我已经画完了该系列的最后一集...我终于可以过上没有截止日的生活，我现在已经从漫画家的身份中退休。
同时高桥阳一表示将以铅笔画形式在网站上继续创作《足球小将》 ",体育
"#马莱莱复出意愿强烈# 谈到马莱莱的情况，申花主帅斯卢茨基表示：“马莱莱已经跟队训练了几天，他也非常期盼可以参加明天的比赛。” #长春亚泰vs上海申花# 
咪咕体育的微博视频
 ",体育
#英国蛙王入围巴黎奥运会# 名将亚当·皮蒂在昨天进行的英国游泳锦标赛首日比赛中以57秒94夺得男子100米蛙泳冠军，顺利拿到了巴黎奥运会的资格。这一成绩比他二月份在多哈世锦赛上游出的59秒10又快了不少，也排进了男子100米蛙泳成绩榜的Top30（第29位）#亚当皮蒂100蛙再度游进58秒# ,体育
#国足最新排名世界第88# FIFA最新一期国家队排名今日出炉，国足世界排名第88，亚洲第13，和上期排名相比没有变化 ,体育
"#中国花游队备战世界杯# 2024年世界泳联花游世界杯北京站将于4月5-7日拉开大幕。期待中国队在家门口创造佳绩，展现中国花游的实力与风采。#北京花游世界杯明日开赛##花样游泳世界杯# 
世界泳联的微博视频
 ",体育
"#张玉宁伤愈复出投入训练##北京国安vs上海海港#张玉宁满血归来，抢圈训练非常投入。接下来国安和海港的比赛，张玉宁和武磊也将从亲密无间的国家队队友，变成俱乐部对手。
咪咕足球的微博视频
 ",体育
#伊万等工作签证推迟返华##中方助教赴中超赛场考察球员#据北青体育报道，3月29日由北京启程返回克罗地亚萨格勒布之后，中国男足主帅伊万科维奇原打算于本周末重返中国。但因申请在华工作许可、办理来华工作签证需要一定的时间履行程序，伊万直到本月中旬才能回到中国。在克罗地亚等待签证期间，伊万观看了中超联赛的转播，并通过线上方式与几位中方助手保持联络，一边考察球员，一边设计下阶段球队的备战计划。,体育
#中国女排漳州封闭集训40天#据漳州体育训练基地报道，4月3日下午，中国女排一行抵达福建省漳州体育训练基地，开启为期40天的封闭集训，将全力备战巴黎奥运会等重要赛事。 ,体育
#黄蜂主帅转任球队管理层# 据Woj报道：黄蜂主教练将在赛季结束时辞职，并将转任球队管理层的职务。 #未来高手追高有一手# ,体育
#巴特勒骑马上街#美媒晒照：巴特勒在迈阿密市中心街头骑马出行#未来高手追高有一手#  ,体育
NBA今日9场常规赛结束，在击败雷霆之后，#凯尔特人锁定联盟第一#；篮网30胜47负已无缘季后赛；战胜骑士之后，#太阳升至西部第六#；森林狼大胜猛龙重返西部第一。#未来高手追高有一手# ,体育
"#广东男篮称威姆斯从未逃避药检##广东男篮回应威姆斯传闻#@广东宏远篮球俱乐部 发布严正声明：威姆斯效力欧洲联赛和中国联赛期间，从未逃避或拒绝过经批准的药检，也从末受到过国际篮联（FIBA） 或者世界反兴奋剂机构（WADA）的禁赛处罚。
【严正声明】全文如下：
近日，我俱乐部关注到，“阿舜说球 Sean” 等自媒体捏造事实造谣、诽谤我俱乐部球员威姆斯，极大伤害了威姆斯的名誉和我俱乐部的声誉。
经核查，威姆斯效力欧洲联赛和中国联赛期间，从未逃避或拒绝过经批准的药检，也从末受到过国际篮联（FIBA） 或者世界反兴奋剂机构（WADA）的禁赛处罚，其在欧洲和中国联赛的注册手续合法合规。
我俱乐部严正声明：互联网不是法外之地，我俱乐部和威姆斯将坚决使用法律手段捍卫合法权益，严肃追究“阿舜说球 Sean”等自媒体造谣诽谤的法律责任！
特此声明。",体育
"#吴易昺说会继续挣扎下去# 当地时间4月3日休斯顿ATP250赛吴易昺迎来自己复出后的第一场正赛，凭借资格赛外卡出赛的吴易昺连续闯过两轮资格赛，面对汤普森以两个4：6落败，吴易昺将在下周继续出战萨拉索塔CH75比赛。
赛后@吴易昺 发博：很幸福的几天 就为了这几天的幸福我挣扎了半年
希望可以继续幸福下去 我也会继续挣扎下去",体育
#中国举重队三天三破世界纪录##2024年泰国举重世界杯#，罗诗芳@罗诗F 在女子59公斤级比赛中收获挺举和总成绩两枚金牌，其中总成绩248kg打破世界纪录。此前，@举重侯志慧 @举重李发彬 已先后在比赛中刷新了世界纪录，中国队三天三破世界纪录！#罗诗芳破世界纪录夺2金1银# ,体育
"詹姆斯怒喷裁判的音频曝光： “这TM犯规啊，吹啊，XX。”#詹姆斯怒喷裁判音频曝光##湖人战胜奇才# #未来高手追高有一手#洛译篮球的微博视频
 ",体育
#谷爱凌春假总结##谷爱凌健身晒腹肌#斯坦福高材生谷爱凌@青蛙公主爱凌 春假结束，她在社交媒体晒出马甲线，太自律了！ ,体育
"#日职联惊现半场吊射破门# 2024赛季日职联(日本职业联赛J1联赛)第6轮，浦和红钻的巴西外援蒂亚戈·桑塔纳，没过半场直接吊射破门，FC东京的门将野泽大志成为背景板。 
红七公psv的微博视频
 ",体育
今日#湖人战胜奇才#后，詹姆斯又创造一项纪录，跻身湖人队史助攻榜前十，#詹姆斯湖人队史助攻榜第十# #湖人三连胜# ,体育
#莫兰特和经纪人分道扬镳# 据名记Woj最新消息，消息人士透露，灰熊球员莫兰特和他的经纪人吉姆·坦纳已经分道扬镳，自莫兰特在2019年进入NBA以来，吉姆·坦纳一直是其经纪人。 ,体育
"#卡特比卢普斯入选名人堂##杰里韦斯特第三次入选名人堂#据Shams报道，文斯-卡特和昌西-比卢普斯入选2024届奈史密斯篮球名人堂，将于本周末官宣。
杰里-韦斯特以总经理、球队顾问身份，第三次入选名人堂。此前，韦斯特分别以球员的身份（1979年）和1960年美国奥运代表队成员身份（2010年）入选过。  ",体育
"#巴黎圣日耳曼1比0雷恩#法国杯半决赛巴黎1-0雷恩，上半场比赛，姆巴佩突破造点，但主罚点球被曼丹达扑出，随后姆巴佩内切闪开角度抽射破门。下半场比赛，双方均无建树。
体域的微博视频
 ",体育
"#勒沃库森赛季40场不败##勒沃库森4比0杜塞尔多夫#德国杯半决赛：药厂4-0大胜杜塞尔多夫进决赛。上半场弗林蓬禁区内爆杆破门首开记录，阿德利低射破门扩大领先优势，维尔茨晃开防守低射破门再下一城。易边再战，齐默尔曼手球送点，维尔茨点射破门梅开二度，勒沃库森锁定胜局。
本世纪以来仅有4支球队做到连续40场不败，分别是尤文图斯（2011年-12年），国际米兰（2004年-05年），皇家马德里（2016年-17年）和现在的勒沃库森。
欧洲足球论坛的微博视频",体育
"英超第31轮，#阿森纳2比0卢顿# 先赛一场1分优势登顶榜首。上半场哈弗茨助攻，厄德高推射破门打破僵局。随后史密斯罗横传门前，桥冈大树自摆乌龙，阿森纳两球领先。易边再战，双方互有攻势但未能再次改写比分。最终，阿森纳主场2-0战胜卢顿。至此，阿森纳近10轮9胜1平保持不败，进35球丢4球+6场零封，而卢顿近10轮3平7负难尝一胜。
343三四三的微博视频",体育
"#曼城4比1阿斯顿维拉##福登帽子戏法# 英超第31轮，曼城主场4-1大胜维拉，福登帽子戏法、罗德里破僵。本场过后曼城67个积分暂居英超第三。
视频来源：
陪英格兰度过漫长岁月的微博视频
  via@陪英格兰度过漫长岁月 ",体育
"#曼城4比1阿斯顿维拉# #福登帽子戏法# 三家争冠冲刺还在继续！ 
 
网页链接
 ",体育
"#姆巴佩纪录片将上映# 姆巴佩更新社媒，晒出个人纪录片《未来的简史》预告片，姆巴佩也是本片的联合制作人 
咪咕体育的微博视频
 ",体育
"#乔丹1650万美元购豪宅##乔丹又买房了# 迈克尔-乔丹又买房了！据美国南佛罗里达商业期刊消息，乔丹和妻子伊薇特在南佛罗里达Jupiter又购置了一处9100平方英尺（800多平米）新豪宅，花费1650万美元。这处新豪宅拥有5间卧室、6个浴室、1个酒吧、1个游泳池以及1个夏季厨房。
值得一提的是，乔丹在该地还有一处面积26000英尺的豪宅",体育
#国安外援古加求婚成功# 北京国安外援古加与女友联合发布求婚照，女友左手无名指戴上了戒指，配文：“YES!!!!” ,体育
"#罗诗芳破世界纪录夺2金1银# 举重世界杯女子59公斤级决赛，罗诗芳挺举140公斤夺金，抓举108公斤摘银，总成绩248公斤打破世界纪录再夺一金 #2024年泰国举重世界杯# 
咪咕体育的微博视频
 ",体育
#入江陵介退役# 日本游泳运动员入江陵介召开发布会宣布退役，日本运动员委员会更新社媒晒图送上祝福。在杭州亚运会上，入江陵介和队友获得男子4x100混接铜牌 ,体育
"#肇俊哲透露奥斯卡愿意接受归化##奥斯卡愿意接受国足归化# 沧州雄狮主帅肇俊哲今日参加中超赛前发布会，发布会上他表示球队外援奥斯卡乐意接受归化。
肇俊哲：“世预赛期间也觉得（国足）现在的打法挺需要奥斯卡，他本人也确实愿意归化，但希望和实现还要有很长的路要走，如果需要我们会全力帮助。” ",体育
#楚秉杰中式台球大师赛夺冠# 第十二届中式台球大师赛总决赛迎来终极对决，最终楚秉杰21:15战胜赵汝亮，捧起象征中式台球至高荣誉的金号角奖杯，同时赢得500万元冠军奖金 ,体育
"#国际拳协上诉被驳回# 路透社消息，由于国际拳击协会（IBA）未能完成治理、财务和道德问题方面的改革，国际奥委会（IOC）去年6月决定撤销对其国际拳击联合会地位的承认。
IBA随后对国际奥委会的决定提出上诉，上诉于4月2日被国际体育仲裁法院驳回。via：@曹亚旗 ",体育
"#利马又受伤了# 根据名记罗马诺消息，曼联球员利马训练中小腿拉伤，将缺阵至少一个月时间
利马本赛季已经第三次遭遇伤病，此前因脚伤缺阵105天，膝盖内侧副韧带受伤缺阵56天 ",体育
"#中国足协公布四起错判漏判#  4月2日，针对青岛海牛、广西平果哈嘹、无锡吴钩和湖南湘涛等职业俱乐部提出的本轮联赛裁判判罚申诉，中国足协组织了本赛季第二期（20240402期）裁判评议工作。中国足协裁判委员会评议组认定本轮联赛有四起裁判错漏判，另一起支持裁判员判罚。
判例四：中甲第4轮，广西平果哈嘹1-0无锡吴钩，比赛第82分钟，平果哈嘹队5号队员疑似用肘部击打对方队员。评议组一致认为，无锡吴钩5号球员目的不在于争抢球，使用手臂故意击打广西平果哈嘹37号球员的面部，构成暴力行为，应予红牌罚令出场，临场裁判员漏判犯规、漏判红牌的决定属错误判罚。
而本场比赛的主裁判不仅漏判犯规，还判罚乔瓦尼假摔（也有说法称乔瓦尼辱骂对方球员），由于此前乔瓦尼已经有了一张黄牌，所以他两黄变一红被罚下。吃到红牌的乔瓦尼直接炸锅，面对面怒喷主裁，队友们拉都拉不住。#广西平果哈嘹1比0无锡吴钩# 
直播吧的微博视频",体育
#翟晓川出战场次队史第一# 从小川到川队，@翟晓川Aysy0118 职业生涯自CBA 2011-2012赛季起，为@北京首钢篮球俱乐部 共出战528场，成为北京队史出场第一 ,体育
"#闫晓楠备战张伟丽# 冠军只有一个，唯梦想不可辜负。@UFC选手闫晓楠 苦练体能备战首场冠军战！#张伟丽VS闫晓楠# 
咪咕体育的微博视频
 ",体育
"#工体将永远为杨雪保留座位# 据《北京青年报》记者张昆龙消息，北京国安主场工人体育场将永远为离世球迷杨雪保留座位，任何场合不会出售。
据悉，北京国安老总周金辉规定，工体任何比赛或演唱会都不予以出售杨雪的位置。
国安球迷杨雪昨日因病医治无效，终年39岁。杨雪是北京国安的忠实球迷，是死忠球迷组织御林军的一员，2005年创立之初就跟随球迷会现场支持球队，多个赛季实现国安主客场比赛全部到场的全勤。",体育
"#李景亮带沙夫卡特游览长城# 不到长城非好汉！UFC人气选手沙夫卡特近日来到了北京，@拳天下李景亮 尽地主之谊。
拳天下李景亮的微博视频
 ",体育
"#母亲心疼闫晓楠# 13岁开始练散打，流离转徙拼搏到如今。@UFC选手闫晓楠 母亲：真的很不容易！祝福她实现自己的梦想。#张伟丽VS闫晓楠##UFC中国德比# 
UFC终极格斗冠军赛的微博视频
 ",体育
#塞尔吉尼奥停赛3场# 中超第3轮，长春亚泰外援塞尔吉尼奥在倒地后实施非体育行为，向对方球员使用侮辱性手势。中国足协今日发布处罚公告：停赛3场罚款3万 ,体育
#北京国安未按时进场被罚4万# 中国足协开出罚单，北京国安在中超第3轮客战武汉三镇的比赛中未按照规定时间离开球队休息室进入比赛场地，被罚款4万元。 ,体育
#WTT重庆冠军赛举办日期更新# 5月27日至6月2日调整为5月30日至6月3日，@WTT世界乒联 宣布#WTT重庆冠军赛2024#举办日期更新。 #WTT重庆冠军赛举办日期公布# ,体育
"#新加坡奥运首金得主退役# 曾经在2016年里约奥运会男子100米蝶泳项目中击败菲尔普斯摘金的约瑟夫·斯库林昨天宣布退役。
28岁的斯库林在个人主页上发文说：“今天标志着新篇章的开始，我将从竞技游泳界退役。我对游泳给生命带来的每一次经历都充满感激。胜利令人振奋、失败令人惭愧，但也一起塑造了我的韧性，而我将把这样的韧性带进（人生）下一个篇章。”",体育
"#女子被钓鱼大爷飞钩刺进脖子# 北京朝阳区，女子河边散步，被钓鱼大爷甩出的飞钩刺中脖子。大爷第一时间表示负责，支付了取出钩子的手术费用，但得知女子索要进一步赔偿时，大爷拒绝赔偿：去法院告我吧！
 
钓鱼
 
围观体坛的微博视频
 ",体育
"#跳水队全主力出战总决赛# 跳水世界杯总决赛将于4月19日-21日在西安举行。国家体育总局游泳运动管理中心副主任李军介绍，国家队将在这次总决赛中派出最高水平的运动员，力争取得优异成绩，为全国观众奉献一场高水平的跳水赛事。
 #跳水梦之队西安见# 
中国跳水梦之队
 
咪咕体育的微博视频
 ",体育
"#约基奇42分16篮板# 集锦！掘金今日主场险胜马刺，约基奇32投18中狂砍42分16篮板6助攻2封盖1抢断！此战后约老师的队史总得分超越安东尼升至历史第三！@NBA 
NBA
 
NBA的微博视频
 ",体育
"#国安主场准备好了# #国安新赛季套票售出27000张# 中超第四轮，北京国安主场对阵上海海港，这是本赛季国安的首个主场比赛。根据票务公司数据显示，今年国安年票已经售出27000+张，本场散票也已售罄！清明小长假+工体新赛季首秀，本场比赛不容错过。
中超联赛
 
北京国安足球俱乐部的微博视频
 ",体育
"#黑科技泳衣将亮相巴黎奥运# 澳大利亚游泳队巴黎奥运会将采用黑科技泳衣。据品牌Speedo介绍，该款泳衣属于Fastskin LZR系列，其中使用太空科技涂层，使得这款泳衣穿着灵活且牢固，最大限度减少水中阻力。#那些奥运会上的黑科技# #2024年巴黎奥运会# 
咪咕体育的微博视频
 ",体育
"六年前的今天，2018年4月3日，欧冠1/4决赛首回合，C罗@CristianoRonaldo 对阵尤文上演惊世倒钩，帮助皇马客场3-0战胜尤文！再来欣赏一下这幅足坛名画！
 #C罗距生涯900球还差15球# 
C罗
 
皇马球迷语录的微博视频
 ",体育
"#武大靖T台走秀# 武大靖@武大靖 昨晚亮相上海，为某品牌男装走秀。我们大靖哥不光短道速滑厉害，奥运冠军跨界T台，走起秀来也是一点也不含糊啊！网友评价台风有亿点可爱！！大家觉得怎么样？
 
武大靖
 
界外编辑部的微博视频
 ",体育
"#掘金战胜马刺# NBA常规赛，波特关键三分，掘金110-105战胜马刺。#约基奇42分16篮板#6助攻、戈登23分、波特15分16篮板；#文班亚马9次盖帽# 文班亚马得到23分16篮板9盖帽8助攻，接近完成四双，布兰纳姆24分。
NBA
 
NBA的微博视频
 ",体育
"#C罗距生涯900球还差15球# #C罗连场帽子戏法# 沙特联利雅得胜利8-0狂胜艾卜哈，C罗@CristianoRonaldo 连场戴帽，他的职业生涯进球数已来到885球，距离900球里程碑只差15球！他很有可能在今年就会实现这个梦幻般的时刻！期待！#c罗职业生涯第65次帽子戏法# 
C罗
 ",体育
"#詹姆斯篮球历史得分王# 湖人128-111轻取猛龙，詹姆斯得到23分9助攻。此役过后，詹姆斯生涯总得分超越巴西球星奥斯卡施密特，成为篮球历史得分王！奥斯卡施密特虽然没在NBA打过球，但是曾在巴西、西班牙、意大利等联赛总共获得49737分，生涯持续了29年。
詹姆斯
 
NBA的微博视频
 ",体育
"#中国国奥2比0力克卡塔尔# 热身赛，中国国奥2-0力挫卡塔尔国奥，取得了本次卡塔尔集训热身赛的首场胜利！卡塔尔是本届亚洲杯的1档球队，能在热身赛击败强敌，对于国奥士气提升无疑非常有帮助。
U23亚洲杯，前三名将直接晋级巴黎奥运会，第四名跟非洲区第四名几内亚进行附加赛，中国队只有晋级四强才有希望晋级奥运会。#中国国奥终结2连败# 
中国足球",体育
"#詹姆斯儿子将转校# 詹姆斯儿子布朗尼申请转校！南加州大学球员布朗尼大一赛季共出战25场，其中6场首发。场均出战19.4分钟，得到4.8分2.8篮板2.1助攻0.8抢断0.2盖帽，投篮命中率36.6%，三分命中率26.7%，罚球命中率67.6%！#布朗尼申请转校# 
NBA
 ",体育
"#湖人战胜猛龙##詹姆斯23分# 湖人128-111战胜猛龙，客场再拿下一场胜利，送对手14连败！目前湖人和国王的胜场差来到1场。詹姆斯23分4篮板9助攻，拉塞尔25分2篮板7助攻，戴维斯21分12篮板1助攻。#拉塞尔25分#NBA
 
NBA的微博视频
 ",体育
"#武汉网球赛官宣回归# 2024@武汉网球公开赛 将于10月7日-13日在武汉光谷国际网球中心举办，吸引世界排名前100的顶级女子球员参赛，至少有7位世界排名前10的女子球员将齐聚江城、共襄网球盛会。
武汉网球公开赛作为WTA1000赛事，级别仅次于四大满贯，是国内级别最高的网球赛事之一！
中国网球
 ",体育
"#尤文图斯2比0拉齐奥# 意大利杯半决赛首回合，尤文主场战拉齐奥。上半场，坎比亚索造点后被VAR取消；下半场，坎比亚索40多米神级直塞助攻基耶萨单刀首开记录，弗拉霍维奇单车破门。尤文2-0击败拉齐奥，在两回合比赛中占得先机！终结此前4场不胜！
尤文图斯
 
谷丰体育的微博视频
 ",体育
