content,type
"#午间话题# 《东宫》《周生如故》《陈情令》《鹤唳华亭》《香蜜沉沉烬如霜》《星汉灿烂》《与凤行》《步步惊心》《媚者无疆》……哪部才是你#想N刷的绝世甜剧#？
 ",娱乐
"【午间娱乐播报】#2024清明档票房破5亿#网页链接#哑舍开机官宣#网页链接#萧蔷捐款赈灾100万#人美心善
网页链接
《萌探》路透#向佐踢到纪凌尘裆部#网页链接
韩网曝Sway要曝5次恋情
网页链接
 ",娱乐
"#阿乐留声机# ""Honey Honey, I know that you with it. Honey Honey, I'm really tryna feel it. Shanghai to L.A I'm a trendsetter, I'm the one for you can't nobody do you better.""——《Honey》张艺兴#张艺兴将在韩国打歌# 
新浪娱乐的微博视频
 ",娱乐
"#阿乐辣评bot# X #下次KTV开个大包就可以了# 
4月4日，黄旭熙晒出粉丝见面会与到场粉丝的大合影，现场粉丝数量寥寥无几，会场空了一大片，完全是“#座无旭席#”。网友辣评：“下次KTV开个大包就可以了。”啊啊啊啊哈哈哈烙铁你……
 ",娱乐
#黄正音为误认小三道歉##被误认女子为黄正音应援# 4月5日，据韩媒，韩国演员黄正音误将素人A某误认为前夫李英东的情人公开发帖怒怼，A某表示并不认识李英东，事后黄正恩进行公开道歉，还直接联系了对方并愿意赔偿一切损失。A某也表示：“我不认识李英东，平时也不看社媒，但这次我支持黄正音。” ,娱乐
#中村一叶恋情乌龙后首露面##中村一叶亮相活动状态# 4月5日，LE SSERAFIM成员中村一叶出席品牌活动，身着一身精致小黑裙，对着镜头甜笑，似乎并没有受到什么恋爱风波的影响。3日，文春周刊曝中村一叶与古贺祐大恋爱中，随后HYBE否认恋情。 ,娱乐
#孟耿如受波及取消活动##黄子佼被罚27万# 据台媒，黄子佼被查获购买未成年不雅片后，被处以120万台币（约27万人民币）的罚款及1200字的悔过书。4月4日，其妻子孟耿如发文称为家里人站柜的活动临时取消，“计划赶不上变化”，引来众多网友谩骂，称不希望这家人再公开亮相，也有网友表示黄子佼之过不应祸及亲友。 ,娱乐
"【0-9时要闻回顾】#张艺兴将在韩国打歌# 预计4月发行韩语新专
网页链接#黄旭熙晒与粉丝大合照#网页链接#何超莲为赌王扫墓#网页链接#徐艺洋发了和黄子韬的合照#网页链接
今天是狗狗Messi生日
网页链接
 ",娱乐
"#JYP回应孙彩瑛恋爱##孙彩瑛ZionT回应恋爱# 4月5日，据韩媒，Zion.T所属公司THE BLACK厂牌表示：""两人互有好感交往中，互相为对方应援""，承认了恋爱事实。孙彩瑛的经纪公司JYP也表达同样的立场。据悉，两人经熟人介绍相识，克服了十岁年龄差发展成恋爱关系，已经交往了半年。 ",娱乐
"#曝孙彩瑛ZionT恋爱半年##孙彩瑛ZionT相差10岁# 据韩媒SWAY报道，TWICE孙彩瑛正与歌手Zion.T交往，两人已交往六个月，相差10岁。据悉，他们通过孙彩瑛的熟人介绍而相识，经常在汉南洞和延禧洞约会。相关人士表示：“彩瑛和Zion.T从前后辈关系发展为恋人关系。因为两人性格都不是爱遮遮掩掩的类型，所以周围的熟人都很了解他们的交往。” 
男方代表作：《杨花大桥》《雪（SNOW）》《Kiss Me》《I Remember You》等。",娱乐
#黄子佼再发文道歉##黄子佼 重新做人# 4月4日晚，黄子佼发文回应性骚扰案获不起诉并再次道歉。他表示“错了就是错”，承诺重新做人，永远不会再犯，“叨扰各位媒体及网友，本人深感歉意。如果愿意，将来请用力监督，给我向前更新的机会。” ,娱乐
"【9-17时要闻回顾】#2024清明档新片票房破3亿#网页链接
一语双关回应！#林更新 怪我没张口#网页链接
朱莉娅·加纳加盟漫威新版《神奇四侠》
网页链接#作家加藤幸子去世#《梦墙》曾获芥川奖
网页链接#郭富城方媛带女儿体验室内跳伞#网页链接",娱乐
"#阿乐今日问#：#你最看好的台剧男演员#是？（第二组） 
 
网页链接
 ",娱乐
"#阿乐今日问#：#你最看好的台剧男演员#是？（第一组） 
 
网页链接
 ",娱乐
#黄子佼出院后仍在购买未成年少女不雅片# 4月3日，黄子佼性骚扰案获不起诉，侦办过程中警方发现黄子佼个人硬盘里有上百部未成年少女不雅片，黄子佼称在2013年注册偷拍论坛账号，在2017年8月8日到2023年7月8日里在该论坛购买了这些影像。而他承认性骚扰自残入院的时间是2023年6月19日…… ,娱乐
"#张艺兴回应内娱没有舞台# 《百分百出品》@张艺兴 被问到如何看待“内娱没有舞台”这一说法，他认为这是一个圈：舞台实力不够→舞台一般→去拍戏→没有舞台，他补充：“不是哪一方的问题”，“希望能够通过这个舞台的节目，让更多的歌手在舞台上展示自己的风采。”你觉得#内娱没有舞台的原因#是？ 
新浪娱乐的微博视频",娱乐
#佟丽娅说妈妈更应该是她自己##佟丽娅也是卷妈# 近日，@佟丽娅 受访谈及家人，透露会从孩子的角度去看世界，和他一起成长；笑说自己也是“卷妈”，但更倾向让孩子“自己卷”：“家长就不参与了”。成为妈妈之后，她更坚定了“妈妈不应该仅仅是佟丽娅的妈妈，她更应该是她自己”的想法。她说曾经也会让妈妈帮她带孩子，自己把所有精力都放在工作上，但某次妈妈尝试冲浪失败后，她有些伤感：“妈妈年轻时要上班，要照顾家庭，没有时间和条件去尝试新鲜事物，到了现在，终于有了自己的时间，又要帮我照顾孩子，这对她来说不公平。”（风尚志）,娱乐
"#李沁王阳眼里全是戏##李沁情绪感染力好强# 《追风者》沈图南质问沈近真是不是共产党，得到肯定的答复后，沈图南狠狠甩了她一巴掌，沈近真抹去嘴角的血，眼泪不断地落下，她掏枪抵住自己的额头：“你开枪啊！你现在就枪毙我啊！”兄妹俩看着对方的眼神真的太虐了……
 
新浪娱乐的微博视频
 ",娱乐
"#午间话题#：来说说你#最看好的台湾男演员#是？
阮经天《周处除三害》《败犬女王》《命中注定我爱你》
吴慷仁《有生之年》《模仿犯》《我们与恶的距离》
周渝民《逆局》《痞子英雄》《流星花园》
陈柏霖《正义的算法》《我可能不会爱你》
郑元畅《恶作剧之吻》《有生之年》
杨祐宁《华灯初上》《良辰吉时》
张孝全《谁是被害者》《罪梦者》《盛夏光年》
许光汉《想见你》《关于我和鬼变成家人的那件事》《阳光普照》
曾敬骅《不良执念清除师》《刻在你心底的名字》
林柏宏《此时此刻》《关于我和鬼变成家人的那件事》
凤小岳《华灯初上》《台湾犯罪故事》《小时代》
彭千祐《不良执念清除师》《罪梦者》
陈昊森《第9节课》《刻在你心底的名字》
李程彬《她和她的她》《七月与安生》《花千骨》
王柏杰《台北女子图鉴》《华灯初上》
朱轩洋《村里来了个暴走女外科》《此时此刻》",娱乐
"【午间娱乐播报】#黑客帝国将拍第五部#网页链接#海莉晒比伯照片力破分居传闻#网页链接
孟耿如地震中飞扑护女儿 黄子佼被玻璃困住没法过去
网页链接
《艾比斯之梦》#作家山本弘去世#网页链接
于正：#衡门有狐更名临江仙#网页链接",娱乐
#侃爷被前员工起诉# 据外媒，侃爷“Kanye West”被前员工起诉。长达42页的诉状涉及恐同、性骚扰、差别对待黑人员工、试图监禁儿童、暴力威胁、职场霸凌等，其中提到侃爷曾让员工到房间一起静音看《新蝙蝠侠》，还做出了疑似自慰的行动。#蝙蝠侠有什么错#…… ,娱乐
"#赵丽颖吻得好有侵略性##林更新被亲到耳朵红了# 《与凤行》行止为沈璃疗伤，诉说爱意。在欲望的蛊惑下，沈璃捧住他的脸吻上去：“我早就想这么做了”，行止努力镇定：“我们应该克制一下”。沈璃看着他：“我很清楚我在做什么，不许拦我，如果选错，那也是我的错。”#拍吻戏不张嘴# 
新浪娱乐的微博视频",娱乐
"【0-9时要闻回顾】#Jennie参与ZICO新歌#MV已制作完毕 
网页链接
工作室开撕仝卓？
网页链接#声优梅原裕一郎承认结婚#网页链接
Lizzo否认退出歌坛
网页链接#李维嘉约了王源一起去滑雪#网页链接
 ",娱乐
#公司否认全钟瑞校园暴力# 据韩媒，经纪公司否认全钟瑞此前的校园暴力争议：“是没有根据的说法。”稍早前，公司表示将发表正式立场回应爆料。据悉，全钟瑞出演《燃烧》出道，凭借《电话》获得百想影后，主演的《不可能的婚礼》刚刚大结局。 ,娱乐
#黄正音秒删##黄正音怒怼小三# 据韩媒，4月4日凌晨，演员黄正音转载一女子的照片，配文写着：“丑女啊，拜托你和我老公结婚吧，离婚后再去曼谷玩不行吗？”随后，她又秒删了该动态。据悉，黄正音在2月再次提出离婚，并透露男方出轨。此前2020年第一次提出离婚又和好后，2022年黄正音二胎儿子出生。 ,娱乐
"#恐怖片版小鹿斑比预告# 童年回忆#小鹿斑比黑化了#！恐怖片版《小鹿斑比：清算》发布首支预告：“你猎过鹿吗？我猎过一次。”长大后的小鹿斑比为母亲报仇，展开一系列报复性杀戮，化身潜伏在荒野中的凶残杀人机器。
守望好莱坞的微博视频
 ",娱乐
#韩素希 校园暴力# 4月3日，韩网网友发文爆料韩素希校园暴力，指称她根据自己的心情不尊重人，甚至把老师弄哭过：“她对我说过的粗话，如同匕首刺向我。”该文章引发热议后，爆料者补充：“的确是上传拿着刀的小狗图的人。”目前韩素希方尚未回应此爆料。（翻译crlogo）#韩素希被曝校园暴力# ,娱乐
"#阿乐i舞台# 4月3日，有韩媒报道帝国之子（ZE:A）队长文俊英发动态宣布结婚：“我终于遇到了想要共度一生的女生。”但目前看不到该动态。来回顾20130817，帝国之子在《音乐中心》带来《风之幽灵》舞台，全员白色套装绅士帅气。#文俊英结婚# 
新浪娱乐的微博视频
 ",娱乐
"#林更新用油烟机灯给自己打光##林更新的榜一大姐赵丽颖什么时候来# 饭点看@林更新 直播也适合了！
直播做鱼，隔着屏幕都能闻到香味，还会用油烟机灯给自己打光，真是精致贤惠boy一枚！@何与 和导演@邓科导演 都来围观小新哥做饭了，榜一大姐@赵丽颖 什么时候来看看？#何与去林更新直播间蹭饭# 
新浪娱乐的微博视频",娱乐
"#阿乐辣评Bot# X #黄子弘凡你怎么不说话了# 
笑晕！@张远Bird （笑眯眯）：“你同学叫Bird那个梗……为什么好笑啊？”@黄子弘凡_Lars （笑得巨灿烂）：“Bird！就很呆啊！Bird！什么人能想这个名儿！”
张远：“我也叫Bird。”
黄子：
网友辣评：“黄子弘凡你怎么不说话了，是不爱说话吗？” ",娱乐
"#朱正廷说罗伯特网速挺快##罗伯特叫朱正廷烧麦判官#《#阿乐的星朋友#》游戏承诺兑现时间到！@THEO-朱正廷 用文言文大夸咱：“以客观之眼，观娱乐圈之百态，不避丑美，不隐善恶，直言无讳。”@评论罗伯特 ：“没想到烧麦判官的彩虹屁也是一绝！”
朱正廷：“你网速挺快
” ",娱乐
#旧爱浪# 2021年《长歌行》，吴磊饰演阿诗勒隼。尤善骑射，九岁起开始征战，十年来从无败绩。“你不准跟我两清。” ,娱乐
"【9-18时要闻回顾】 
关锦鹏说新片是《蓝宇2.0》
网页链接#200多位艺人联名抵制AI#网页链接
台湾导演&著名摄影师#张照堂去世#网页链接#张凌赫告黑案一审胜诉#网页链接#王大陆家墙震裂了#：好在人都安全
网页链接
 ",娱乐
"#阿乐留声机# “我不愿让你一个人，一个人在人海浮沉，我不愿，你独自走过，风雨的时分。我不愿让你一个人，承受这世界的残忍，我不愿眼泪陪你到永恒。”——《我不愿让你一个人》五月天 
新浪娱乐的微博视频
 ",娱乐
"#阿乐今日问#：谁是你心中的#韩剧最强85生#？（第二组） 
 
网页链接
 ",娱乐
"#阿乐今日问#：谁是你心中的#韩剧最强85生#？（第一组） 
 
网页链接
 ",娱乐
#台媒曝朱轩洋一直在哭##朱轩洋吴卓源昨天仍在拍戏#  据台媒，朱轩洋和吴卓源是某新片的男女主角，知情人士透露，昨天两人被曝出轨丑闻后，拍摄行程照旧，但现场氛围非常严肃，朱轩洋情绪一直不好：“一直在哭，不知是自责，还是难以收拾局面的无助。” ,娱乐
"#就没有甄嬛传接不住的梗#系列更新——#今天上班只干一件事#：“咱们呀，就这么等着。”#阿乐时光机# 
新浪娱乐的微博视频
 ",娱乐
新浪娱乐首档新星职业成长观察策划《#你好新面孔！#》正式官宣！策划首次把艺人放在“新进职场人”视角，对潜力新星进行自我、行业、市场三维观察，带领艺人走出“野蛮生长”、“缺乏思考”的误区。现接受各大经纪公司以及各位网友踊跃推荐，详情见图⬇️#Hello新面孔# ,娱乐
"#BamBam 恋爱有什么不对吗#  BamBam参加节目预告视频引发争议，当主持人问BamBam：“我们将讨论与‘爱’相关的话题，你没关系吗？”BamBam：“我现在27岁了，你以为我之前从没谈过恋爱吗？这太荒谬了！” 
新浪娱乐的微博视频
 ",娱乐
"#张若昀唐艺昕公开恋情的原因# @唐艺昕 在《半熟恋人》中谈到当年选择和@张若昀 一起公布恋情的原因，她表示“其实本来是不愿意的”，但又不愿意在公开场合碰到假装不认识，“或刻意避开，我们自己会非常的别扭”，她称他俩想要的是两个人更自然舒服的相处。 
新浪娱乐的微博视频
 ",娱乐
"#午间话题# 谁是你心中的#韩剧最强85生#？
宋仲基（1985年）《太阳的后裔》《文森佐》《财阀家的小儿子》
李民基（1985年）《今生是第一次》《我的解放日志》
安宰弘（1986年）《请回答1988》《melo体质》《LTNS》
柳俊烈（1986年）《请回答1988》《人间失格》
池昌旭（1987年）《healer》《都市男女爱情法》《恶中之恶》
张根硕（1987年）《原来是美男》《玛丽外宿中》
徐仁国（1987年）《请回答1997》《某天，灭亡从我家玄关进来了》《死期将至》
安宰贤（1987年）《blood》《来自星星的你》
丁一宇（1987年）《搞笑一家人》《灰姑娘与四骑士》
金秀贤（1988年）《来自星星的你》《眼泪女王》
朴叙俊（1988年）《三流之路》《梨泰院class》《金秘书为何那样》
丁海寅（1988年）《经常请吃饭的漂亮姐姐》《春夜》《D.P：逃兵追缉令》
任时完（1988年）《未生》《他人即地狱》《RUN ON》
李洙赫（1988年）《还有明天》《夜行书生》
金汎（1989年）《搞笑一家人》《至上之法》《九尾狐传1938》
李钟硕（1989年）《匹诺曹》《听见你的声音》《W两个世界》
金宇彬（1989年）《学校2013》《任意依恋》《继承者们》
郑容和（1989年）《我为你着迷》《原来是美男》《大发不动产》",娱乐
"【午间娱乐播报】#权志龙要开演唱会了#网页链接#安雅晒两年前婚礼照#网页链接
黄子佼控诉大小S等吸毒仍在侦查中
网页链接#李川锤娜丽莎看电影#网页链接
陈赫张子萱一家新加坡度假
网页链接
 ",娱乐
"#大牙因陈建州反诉患抑郁症##大牙谈被陈建州起诉哭了# 4月2日，大牙周宜霈谈控诉11年前遭到陈建州性侵未遂，反被以加重诽谤提告一事，忍不住落泪。她说事情经过快一年，这段时间没工作，被诊断重度忧郁症，身高168的她瘦到48公斤，甚至会有想要结束生命的想法，“我感觉到我生病了。” 
新浪娱乐的微博视频",娱乐
"#宋仲基谈与金秀贤再合作# 宋仲基客串《眼泪女王》幕后花絮来袭，“我和金秀贤真的时隔很久一起拍摄，非常开心”，“还有我们金智媛演员，虽然一起合作了很多作品，但是今天在现场，时隔很久感受到她这种超强气势。”感觉花絮更帅了
 
新浪娱乐的微博视频
 ",娱乐
"#HYBE否认中村一叶恋情# #文春曝中村一叶恋情#与古贺祐大于22年夏天开始交往，被公司发现后分手，3月17日两人被拍到烤肉约会。中村一叶经纪公司否认恋情，但“作为朋友吃饭是事实”。文春再曝二人饭后上了出租车，做出令人吃惊的行动，详细内容和独家照片明天揭晓。你想说？
 
网页链接
 ",娱乐
#文春曝中村一叶恋情##中村一叶 古贺祐大# 据文春爆料，LE SSERAFIM日本成员中村一叶与&TEAM成员古贺祐大（K）恋爱中。3月17日两人在高级烤肉店约会，随后一起坐出租车离开。 ,娱乐
#众星为台湾地震祈福# 3日，中国#台湾花莲县海域7.3级地震#，多地震感明显，周杰伦 @刘若英 @小S @魏如萱waa 昆凌@HannahQuinlivan @林俊杰 @陳意涵 @楊丞琳 @施柏宇patrick @盛一伦 等众星纷纷报平安并为台湾地震祈福。 ,娱乐
"#朱正廷麦麸判官出圈后不担心被考古##朱正廷希望自己绿茶一点# 欢迎第五位《#阿乐的星朋友#》@THEO-朱正廷 做客！“麦麸判官”出圈后不担心被考古：“人一定是慢慢成长的”；谈爱豆和演员的异同，在管理好私生活和体验生活做好平衡，想成为“希望大家记住角色而不是我”的演员
被赞“内娱活菩萨”，自嘲身材是两块板，“脏脏包判官”上线，对阿乐贴脸开大：“就是你想得脏！”
用六边形重新定义自己：“希望我绿茶一点！”
被催婚，直言对感情绝不将就；分享“朱正廷偷听bot”让大家惊呼：“这是能说的吗！”还原经典款表情包、听《forever》急到手舞足蹈……更多精彩速戳正片！
 
新浪娱乐的微博视频",娱乐
#宋昰昀拍扇巴掌戏要求对手演员道歉# 宋昰昀承认校园暴力后，有韩国娱记爆料宋昰昀曾在片场拍扇巴掌戏后要求对手演员道歉。他还称宋昰昀更换经纪人和造型师的频率非常高并指出：“在另一部作品的拍摄过程中，工作人员也有过两到三次的更换”。 ,娱乐
#黄子佼性骚扰案获不起诉# 据台媒，黄子佼性骚扰案获不起诉。但#黄子佼购买上百部未成年少女不雅片#，获缓起诉，条件是缴纳120万元台币（约27万人民币），写1200字悔过书。黄子佼去年遭爆料，曾对未成年女子性骚扰，黄子佼为此拍片道歉。黄子佼遭检警约谈后，透过律师等各种渠道，与被害人协商和解。 ,娱乐
#霉霉进入福布斯全球亿万富豪榜# 据外媒，霉霉Taylor Swift正式进入福布斯全球亿万富豪榜，且凭借11亿美元（约80亿元）净资产，成为史上首位仅凭借音乐和演艺收入，就成为亿万富豪的艺人。 ,娱乐
"【0-9时要闻回顾】
帝国之子#文俊英结婚#网页链接#刘宇宁跟粉丝道歉#网页链接
Kep1er将解散 开始制作最后一张专辑
网页链接
刘若英提醒大家小心余震
网页链接
李惠利更新ins晒美照
网页链接
 ",娱乐
"#魏若来和沈图南恩断义绝##王阳爆发力# 《#追风者#》魏若来把证据拿给沈图南，不想公布真相的沈图南认定这是谣言。魏若来认为沈图南在助纣为虐，他的执着让沈图南无奈。沈图南怒摔证据砸翻了杯子，忍痛呵斥魏若来：“你这么一意孤行的话，从一刻起，你我恩断义绝。”😭 
新浪娱乐的微博视频
 ",娱乐
#瑞士偶遇表志勋##表志勋帮路人拍照# 有网友晒出去年10月在瑞士和表志勋的合照，透露当时在瑞士first山上，逮了旁边几个韩国年轻路人帮忙拍照，其中一个男生很主动过来帮忙，拍的时候还不停左右横移换角度，还会欢呼调动表情，拍完后发现这个男生就是P.O表志勋。呜！阿乐轻轻地碎了🥹 ,娱乐
#新版罗密欧与朱丽叶选角# 据外媒，“荷兰弟”Tom Holland将搭档新人女演员Francesca Amewudah-Rivers，出演舞台剧版的《罗密欧与朱丽叶》，从5月开始在伦敦上映，持续到8月。@评论罗伯特 辣评：#TomHolland终于找到了他的Romeo#（PS.图7是1996年电影版选角） ,娱乐
"【17-23时要闻回顾】#文春预告韩国第一女偶像组合成员恋情#网页链接
因与粉丝互动内容#章昊韩网被审判#网页链接#亨特莎弗承认曾与Rosalia交往#网页链接#neinei十年前后变化#网页链接
2024清明档新片预售总票房破9000万
网页链接
 ",娱乐
"#阿乐时光机##赵灵儿蛇身特效# 《仙剑奇侠传》赵灵儿@刘亦菲 喝下酒后双腿剧痛难忍，片刻后竟变出神蛇，灵儿害怕又无助，匆匆逃出窗子，追上来的晋元看到被吓得晕了过去。每次看到变成蛇身都好心疼灵儿啊！
 
新浪娱乐的微博视频
 ",娱乐
"#李若彤回应58岁未婚未育##李若彤自曝曾因十年恋情抑郁# 4月2日，@李若彤 分享自己因十年恋情无果导致自我怀疑，牺牲了陪家人的时间却接到父亲去世的消息，一度陷入抑郁的经历。对于自己58岁依然未婚未育，她表示：“无论面对什么样的人生境遇，女性都要有独立的能力，哪怕独行，也要保有内在的活力。” 
新浪娱乐的微博视频",娱乐
#旧爱浪# 2020年《甜蜜家园》，宋江饰演高中生车贤秀，孤单又绝望，一度想要自杀，突如其来的意外让他变成了不一样的存在，为了守护家园付出一切。“如果我变成怪物，请杀了我”，“别担心，我会保护你们。”#宋江入伍# ,娱乐
"#阿乐留声机# “长大了，怎么你不快乐。一边哭一边丢，一边颓一边追。把玩具都忘了，换大人的外壳。好难过好幽默，你走过我走过，别后退听我说，人们爱你的光，我偏爱你的黑你的笨你的错。用瑕疵，做我们找彼此的印记，没关系，没关系，你一定爱我不完美的心。”——《行走的鱼》徐佳莹 
新浪娱乐的微博视频",娱乐
"#黄轩曾澄清与宋昰昀的关系##黄轩说和宋昰昀交流靠比划# 早前@黄轩的微博 被拍到与韩国演员宋昰昀牵手同游，而后他在在节目中回应两人关系，表示两人只是试图交往但发现不合适，所以并没有在一起。被问到两人如何沟通，黄轩说：“比划。”有时还会用翻译软件和英语。#宋昰昀是黄轩前女友##阿乐时光机# 
新浪娱乐的微博视频",娱乐
"#阿乐今日问#：你心中的#韩剧最强90花#是谁？（第二组）   
 
网页链接
 ",娱乐
"#阿乐今日问#：你心中的#韩剧最强90花#是谁？（第一组） 
 
网页链接
 ",娱乐
#赵小棠发文回应抑郁##赵小棠 生病了不是你的错# 4月2日，@赵小棠啊 在节目中称自己经历恶意剪辑陷入抑郁。当晚，她发文感谢曾经帮助过自己的人，同时鼓励那些有相同经历的人：“不要害怕，生病了不是你的错，只是有些事情暂时解决不了，给自己点时间，倾诉也不是卖惨。”#赵小棠抑郁了两年# ,娱乐
#曝赞达亚悉尼妹成新晋邦女郎人选##沙丘导演或将执导新版007# 近日，据外媒，有知情人士透露“007”制片方将新一任“邦女郎”锁定在赞达亚或“悉尼妹”Sydney Sweeney之中，另外制片方还想邀请《沙丘2》导演丹尼斯·维伦纽瓦来执导本片。此外，知情人士还表示本片将会是全新的故事，而非续集。 ,娱乐
"#阿乐辣评bot# X #不愧是农耕大国# 
4月2日，有网友晒出“十个勤天”@种地吧鹭卓 @种地吧陈少熙 线下活动的视频，现场人气爆棚，网友辣评：“不愧是农耕大国！”哈哈哈哈哈哈“做大做强”成效有！
 ",娱乐
"#阿乐i舞台# 20170402， Highlight在《人气歌谣》带来《不要愁眉苦脸》舞台，手拿麦唱跳实力满分，“不要愁眉苦脸，baby，你笑起来更好看~”来接收今天的好心情！#HIGHLIGHT拿回BEAST商标# 
新浪娱乐的微博视频
 ",娱乐
"【9-17时要闻回顾】#第26届上海国际电影节官宣#网页链接#导演否认老版蜘蛛侠拍第四部#网页链接#大牙流泪回忆被陈建州起诉心情#网页链接
《黑暗荣耀》感情好！林智妍为宋慧乔应援
网页链接
华晨宇发文怒怼：到底是挡了谁的道 
网页链接
 ",娱乐
"#山田裕贵回应与西野七濑结婚##听得出来山田裕贵很高兴# 3月31日，西野七濑&山田裕贵宣布结婚。4月2日，山田裕贵电台回应结婚喜讯，难掩激动↓
“我和女演员西野七濑结婚了，谢谢大家！我可以‘哇’一下吗？我可以高兴吧！”
“太棒了！我结婚了！爸爸！妈妈！妹妹！我结婚了！！”
“我很开心，谢谢大家！耶耶耶！！！”
“收获了比想象更多的祝福，这样温暖的世界真好啊！！”",娱乐
#柳俊烈韩素希宣布分手后更新ins##韩素希 之后只走花路# 4月2日，韩素希在官宣与柳俊烈分手后首更ins，除了杂志和美照外，她还晒出了一张蛋糕照，上面写着：“之后只走花路。”此外，3小时前，柳俊烈也在宣布分手后首更ins，晒出了前几天公开的画报。 ,娱乐
#贺峻霖拍私生##贺峻霖和私生互拍# 4月2日，@时代少年团-贺峻霖 在微博晒出一段视频怼私生：“好小众但每天都会出现的‘惊喜’。”视频中贺峻霖将镜头对准门外，一个私生探头出来发现他在拍，又缩了回去。另一段则是贺峻霖和两个私生互拍，其中一个人见他在拍，还竖起了手指。 ,娱乐
